"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Other miliary tuberculosis"	"A19.8"	10	4156214161	0.0 (Unreliable)
	"Miliary tuberculosis, unspecified"	"A19.9"	727	4156214161	0.0
	"Bubonic plague"	"A20.0"	0	4156214161	0.0 (Unreliable)
	"Cellulocutaneous plague"	"A20.1"	0	4156214161	0.0 (Unreliable)
	"Pneumonic plague"	"A20.2"	2	4156214161	0.0 (Unreliable)
	"Plague meningitis"	"A20.3"	0	4156214161	0.0 (Unreliable)
	"Septicaemic plague"	"A20.7"	5	4156214161	0.0 (Unreliable)
	"Other forms of plague"	"A20.8"	0	4156214161	0.0 (Unreliable)
	"Plague, unspecified"	"A20.9"	2	4156214161	0.0 (Unreliable)
	"Ulceroglandular tularaemia"	"A21.0"	0	4156214161	0.0 (Unreliable)
	"Oculoglandular tularaemia"	"A21.1"	0	4156214161	0.0 (Unreliable)
	"Pulmonary tularaemia"	"A21.2"	5	4156214161	0.0 (Unreliable)
	"Gastrointestinal tularaemia"	"A21.3"	0	4156214161	0.0 (Unreliable)
	"Generalized tularaemia"	"A21.7"	6	4156214161	0.0 (Unreliable)
	"Other forms of tularaemia"	"A21.8"	0	4156214161	0.0 (Unreliable)
	"Tularaemia, unspecified"	"A21.9"	4	4156214161	0.0 (Unreliable)
	"Cutaneous anthrax"	"A22.0"	0	4156214161	0.0 (Unreliable)
	"Pulmonary anthrax"	"A22.1"	0	4156214161	0.0 (Unreliable)
	"Gastrointestinal anthrax"	"A22.2"	0	4156214161	0.0 (Unreliable)
	"Anthrax septicaemia"	"A22.7"	0	4156214161	0.0 (Unreliable)
	"Other forms of anthrax"	"A22.8"	0	4156214161	0.0 (Unreliable)
	"Anthrax, unspecified"	"A22.9"	0	4156214161	0.0 (Unreliable)
	"Brucellosis due to Brucella melitensis"	"A23.0"	2	4156214161	0.0 (Unreliable)
	"Brucellosis due to Brucella abortus"	"A23.1"	0	4156214161	0.0 (Unreliable)
	"Brucellosis due to Brucella suis"	"A23.2"	0	4156214161	0.0 (Unreliable)
	"Brucellosis due to Brucella canis"	"A23.3"	0	4156214161	0.0 (Unreliable)
	"Other brucellosis"	"A23.8"	0	4156214161	0.0 (Unreliable)
	"Brucellosis, unspecified"	"A23.9"	7	4156214161	0.0 (Unreliable)
	"Glanders"	"A24.0"	0	4156214161	0.0 (Unreliable)
	"Acute and fulminating melioidosis"	"A24.1"	2	4156214161	0.0 (Unreliable)
	"Subacute and chronic melioidosis"	"A24.2"	0	4156214161	0.0 (Unreliable)
	"Other melioidosis"	"A24.3"	0	4156214161	0.0 (Unreliable)
	"Melioidosis, unspecified"	"A24.4"	0	4156214161	0.0 (Unreliable)
	"Spirillosis"	"A25.0"	0	4156214161	0.0 (Unreliable)
	"Streptobacillosis"	"A25.1"	2	4156214161	0.0 (Unreliable)
	"Rat-bite fever, unspecified"	"A25.9"	1	4156214161	0.0 (Unreliable)
	"Cutaneous erysipeloid"	"A26.0"	1	4156214161	0.0 (Unreliable)
	"Erysipelothrix septicaemia"	"A26.7"	4	4156214161	0.0 (Unreliable)
	"Other forms of erysipeloid"	"A26.8"	0	4156214161	0.0 (Unreliable)
	"Erysipeloid, unspecified"	"A26.9"	0	4156214161	0.0 (Unreliable)
	"Leptospirosis icterohaemorrhagica"	"A27.0"	1	4156214161	0.0 (Unreliable)
	"Other forms of leptospirosis"	"A27.8"	0	4156214161	0.0 (Unreliable)
	"Leptospirosis, unspecified"	"A27.9"	11	4156214161	0.0 (Unreliable)
	"Pasteurellosis"	"A28.0"	201	4156214161	0.0
	"Cat-scratch disease"	"A28.1"	4	4156214161	0.0 (Unreliable)
	"Extraintestinal yersiniosis"	"A28.2"	3	4156214161	0.0 (Unreliable)
	"Other specified zoonotic bacterial diseases, not elsewhere classified"	"A28.8"	76	4156214161	0.0
	"Zoonotic bacterial disease, unspecified"	"A28.9"	0	4156214161	0.0 (Unreliable)
	"Indeterminate leprosy"	"A30.0"	1	4156214161	0.0 (Unreliable)
	"Tuberculoid leprosy"	"A30.1"	0	4156214161	0.0 (Unreliable)
	"Borderline tuberculoid leprosy"	"A30.2"	0	4156214161	0.0 (Unreliable)
	"Borderline leprosy"	"A30.3"	1	4156214161	0.0 (Unreliable)
	"Borderline lepromatous leprosy"	"A30.4"	0	4156214161	0.0 (Unreliable)
	"Lepromatous leprosy"	"A30.5"	0	4156214161	0.0 (Unreliable)
	"Other forms of leprosy"	"A30.8"	0	4156214161	0.0 (Unreliable)
	"Leprosy, unspecified"	"A30.9"	23	4156214161	0.0
	"Pulmonary mycobacterial infection"	"A31.0"	2892	4156214161	0.1
	"Cutaneous mycobacterial infection"	"A31.1"	0	4156214161	0.0 (Unreliable)
	"Other mycobacterial infections"	"A31.8"	73	4156214161	0.0
	"Mycobacterial infection, unspecified"	"A31.9"	597	4156214161	0.0
	"Cutaneous listeriosis"	"A32.0"	0	4156214161	0.0 (Unreliable)
	"Listerial meningitis and meningoencephalitis"	"A32.1"	263	4156214161	0.0
	"Listerial septicaemia"	"A32.7"	153	4156214161	0.0
	"Other forms of listeriosis"	"A32.8"	14	4156214161	0.0 (Unreliable)
	"Listeriosis, unspecified"	"A32.9"	66	4156214161	0.0
	"Tetanus neonatorum"	"A33"	0	4156214161	0.0 (Unreliable)
	"Obstetrical tetanus"	"A34"	0	4156214161	0.0 (Unreliable)
	"Other tetanus"	"A35"	62	4156214161	0.0
	"Pharyngeal diphtheria"	"A36.0"	0	4156214161	0.0 (Unreliable)
	"Nasopharyngeal diphtheria"	"A36.1"	0	4156214161	0.0 (Unreliable)
	"Laryngeal diphtheria"	"A36.2"	0	4156214161	0.0 (Unreliable)
	"Cutaneous diphtheria"	"A36.3"	0	4156214161	0.0 (Unreliable)
	"Other diphtheria"	"A36.8"	0	4156214161	0.0 (Unreliable)
	"Diphtheria, unspecified"	"A36.9"	3	4156214161	0.0 (Unreliable)
	"Whooping cough due to Bordetella pertussis"	"A37.0"	35	4156214161	0.0
	"Whooping cough due to Bordetella parapertussis"	"A37.1"	1	4156214161	0.0 (Unreliable)
	"Whooping cough due to other Bordetella species"	"A37.8"	0	4156214161	0.0 (Unreliable)
	"Whooping cough, unspecified"	"A37.9"	179	4156214161	0.0
	"Scarlet fever"	"A38"	15	4156214161	0.0 (Unreliable)
	"Meningococcal meningitis"	"A39.0"	532	4156214161	0.0
	"Waterhouse-Friderichsen syndrome"	"A39.1"	335	4156214161	0.0
	"Acute meningococcaemia"	"A39.2"	37	4156214161	0.0
	"Chronic meningococcaemia"	"A39.3"	0	4156214161	0.0 (Unreliable)
	"Meningococcaemia, unspecified"	"A39.4"	891	4156214161	0.0
	"Meningococcal heart disease"	"A39.5"	0	4156214161	0.0 (Unreliable)
	"Other meningococcal infections"	"A39.8"	20	4156214161	0.0
	"Meningococcal infection, unspecified"	"A39.9"	37	4156214161	0.0
	"Septicaemia due to streptococcus, group A"	"A40.0"	376	4156214161	0.0
	"Septicaemia due to streptococcus, group B"	"A40.1"	373	4156214161	0.0
	"Septicaemia due to streptococcus, group D"	"A40.2"	2010	4156214161	0.0
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	2433	4156214161	0.1
	"Other streptococcal septicaemia"	"A40.8"	264	4156214161	0.0
	"Streptococcal septicaemia, unspecified"	"A40.9"	1962	4156214161	0.0
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	10679	4156214161	0.3
	"Septicaemia due to other specified staphylococcus"	"A41.1"	297	4156214161	0.0
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	7777	4156214161	0.2
	"Septicaemia due to Haemophilus influenzae"	"A41.3"	116	4156214161	0.0
	"Septicaemia due to anaerobes"	"A41.4"	1343	4156214161	0.0
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	12209	4156214161	0.3
	"Other specified septicaemia"	"A41.8"	1471	4156214161	0.0
	"Septicaemia, unspecified"	"A41.9"	435305	4156214161	10.5
	"Pulmonary actinomycosis"	"A42.0"	62	4156214161	0.0
	"Abdominal actinomycosis"	"A42.1"	3	4156214161	0.0 (Unreliable)
	"Cervicofacial actinomycosis"	"A42.2"	1	4156214161	0.0 (Unreliable)
	"Actinomycotic septicaemia"	"A42.7"	18	4156214161	0.0 (Unreliable)
	"Other forms of actinomycosis"	"A42.8"	8	4156214161	0.0 (Unreliable)
	"Actinomycosis, unspecified"	"A42.9"	21	4156214161	0.0
	"Pulmonary nocardiosis"	"A43.0"	444	4156214161	0.0
	"Cutaneous nocardiosis"	"A43.1"	3	4156214161	0.0 (Unreliable)
	"Other forms of nocardiosis"	"A43.8"	64	4156214161	0.0
	"Nocardiosis, unspecified"	"A43.9"	213	4156214161	0.0
	"Systemic bartonellosis"	"A44.0"	0	4156214161	0.0 (Unreliable)
	"Cutaneous and mucocutaneous bartonellosis"	"A44.1"	0	4156214161	0.0 (Unreliable)
	"Other forms of bartonellosis"	"A44.8"	1	4156214161	0.0 (Unreliable)
	"Bartonellosis, unspecified"	"A44.9"	2	4156214161	0.0 (Unreliable)
	"Erysipelas"	"A46"	28	4156214161	0.0
	"Gas gangrene"	"A48.0"	224	4156214161	0.0
	"Legionnaires' disease"	"A48.1"	1235	4156214161	0.0
	"Nonpneumonic Legionnaires' disease [Pontiac fever]"	"A48.2"	1	4156214161	0.0 (Unreliable)
	"Toxic shock syndrome"	"A48.3"	655	4156214161	0.0
	"Brazilian purpuric fever"	"A48.4"	0	4156214161	0.0 (Unreliable)
	"Other specified bacterial diseases"	"A48.8"	149	4156214161	0.0
	"Staphylococcal infection, unspecified"	"A49.0"	5464	4156214161	0.1
	"Streptococcal infection, unspecified"	"A49.1"	1515	4156214161	0.0
	"Haemophilus influenzae infection, unspecified"	"A49.2"	92	4156214161	0.0
	"Mycoplasma infection, unspecified"	"A49.3"	29	4156214161	0.0
	"Other bacterial infections of unspecified site"	"A49.8"	1799	4156214161	0.0
	"Bacterial infection, unspecified"	"A49.9"	6765	4156214161	0.2
	"Early congenital syphilis, symptomatic"	"A50.0"	1	4156214161	0.0 (Unreliable)
	"Early congenital syphilis, latent"	"A50.1"	1	4156214161	0.0 (Unreliable)
	"Early congenital syphilis, unspecified"	"A50.2"	2	4156214161	0.0 (Unreliable)
	"Late congenital syphilitic oculopathy"	"A50.3"	0	4156214161	0.0 (Unreliable)
	"Late congenital neurosyphilis [juvenile neurosyphilis]"	"A50.4"	3	4156214161	0.0 (Unreliable)
	"Other late congenital syphilis, symptomatic"	"A50.5"	9	4156214161	0.0 (Unreliable)
	"Late congenital syphilis, latent"	"A50.6"	0	4156214161	0.0 (Unreliable)
	"Late congenital syphilis, unspecified"	"A50.7"	1	4156214161	0.0 (Unreliable)
	"Congenital syphilis, unspecified"	"A50.9"	21	4156214161	0.0
	"Primary genital syphilis"	"A51.0"	0	4156214161	0.0 (Unreliable)
	"Primary anal syphilis"	"A51.1"	0	4156214161	0.0 (Unreliable)
	"Primary syphilis of other sites"	"A51.2"	0	4156214161	0.0 (Unreliable)
	"Secondary syphilis of skin and mucous membranes"	"A51.3"	2	4156214161	0.0 (Unreliable)
	"Other secondary syphilis"	"A51.4"	1	4156214161	0.0 (Unreliable)
	"Early syphilis, latent"	"A51.5"	2	4156214161	0.0 (Unreliable)
	"Early syphilis, unspecified"	"A51.9"	0	4156214161	0.0 (Unreliable)
	"Cardiovascular syphilis"	"A52.0"	45	4156214161	0.0
	"Symptomatic neurosyphilis"	"A52.1"	81	4156214161	0.0
	"Asymptomatic neurosyphilis"	"A52.2"	0	4156214161	0.0 (Unreliable)
	"Neurosyphilis, unspecified"	"A52.3"	246	4156214161	0.0
	"Other symptomatic late syphilis"	"A52.7"	12	4156214161	0.0 (Unreliable)
	"Late syphilis, latent"	"A52.8"	2	4156214161	0.0 (Unreliable)
	"Late syphilis, unspecified"	"A52.9"	47	4156214161	0.0
	"Latent syphilis, unspecified as early or late"	"A53.0"	12	4156214161	0.0 (Unreliable)
	"Syphilis, unspecified"	"A53.9"	45	4156214161	0.0
	"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess"	"A54.0"	0	4156214161	0.0 (Unreliable)
	"Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess"	"A54.1"	0	4156214161	0.0 (Unreliable)
	"Gonococcal pelviperitonitis and other gonococcal genitourinary infections"	"A54.2"	2	4156214161	0.0 (Unreliable)
	"Gonococcal infection of eye"	"A54.3"	0	4156214161	0.0 (Unreliable)
	"Gonococcal infection of musculoskeletal system"	"A54.4"	0	4156214161	0.0 (Unreliable)
	"Gonococcal pharyngitis"	"A54.5"	1	4156214161	0.0 (Unreliable)
	"Gonococcal infection of anus and rectum"	"A54.6"	0	4156214161	0.0 (Unreliable)
	"Other gonococcal infections"	"A54.8"	55	4156214161	0.0
	"Gonococcal infection, unspecified"	"A54.9"	4	4156214161	0.0 (Unreliable)
	"Chlamydial lymphogranuloma (venereum)"	"A55"	1	4156214161	0.0 (Unreliable)
	"Chlamydial infection of lower genitourinary tract"	"A56.0"	0	4156214161	0.0 (Unreliable)
	"Chlamydial infection of pelviperitoneum and other genitourinary organs"	"A56.1"	0	4156214161	0.0 (Unreliable)
	"Chlamydial infection of genitourinary tract, unspecified"	"A56.2"	0	4156214161	0.0 (Unreliable)
	"Chlamydial infection of anus and rectum"	"A56.3"	0	4156214161	0.0 (Unreliable)
	"Chlamydial infection of pharynx"	"A56.4"	0	4156214161	0.0 (Unreliable)
	"Sexually transmitted chlamydial infection of other sites"	"A56.8"	0	4156214161	0.0 (Unreliable)
	"Chancroid"	"A57"	0	4156214161	0.0 (Unreliable)
	"Granuloma inguinale"	"A58"	1	4156214161	0.0 (Unreliable)
	"Urogenital trichomoniasis"	"A59.0"	0	4156214161	0.0 (Unreliable)
	"Trichomoniasis of other sites"	"A59.8"	0	4156214161	0.0 (Unreliable)
	"Trichomoniasis, unspecified"	"A59.9"	0	4156214161	0.0 (Unreliable)
	"Herpesviral infection of genitalia and urogenital tract"	"A60.0"	1	4156214161	0.0 (Unreliable)
	"Herpesviral infection of perianal skin and rectum"	"A60.1"	2	4156214161	0.0 (Unreliable)
	"Anogenital herpesviral infection, unspecified"	"A60.9"	0	4156214161	0.0 (Unreliable)
	"Anogenital (venereal) warts"	"A63.0"	15	4156214161	0.0 (Unreliable)
	"Other specified predominantly sexually transmitted diseases"	"A63.8"	0	4156214161	0.0 (Unreliable)
	"Unspecified sexually transmitted disease"	"A64"	42	4156214161	0.0
	"Nonvenereal syphilis"	"A65"	0	4156214161	0.0 (Unreliable)
	"Initial lesions of yaws"	"A66.0"	0	4156214161	0.0 (Unreliable)
	"Multiple papillomata and wet crab yaws"	"A66.1"	0	4156214161	0.0 (Unreliable)
	"Other early skin lesions of yaws"	"A66.2"	0	4156214161	0.0 (Unreliable)
	"Hyperkeratosis of yaws"	"A66.3"	0	4156214161	0.0 (Unreliable)
	"Gummata and ulcers of yaws"	"A66.4"	0	4156214161	0.0 (Unreliable)
	"Gangosa"	"A66.5"	0	4156214161	0.0 (Unreliable)
	"Bone and joint lesions of yaws"	"A66.6"	0	4156214161	0.0 (Unreliable)
	"Other manifestations of yaws"	"A66.7"	0	4156214161	0.0 (Unreliable)
	"Latent yaws"	"A66.8"	0	4156214161	0.0 (Unreliable)
	"Yaws, unspecified"	"A66.9"	0	4156214161	0.0 (Unreliable)
	"Primary lesions of pinta"	"A67.0"	0	4156214161	0.0 (Unreliable)
	"Intermediate lesions of pinta"	"A67.1"	0	4156214161	0.0 (Unreliable)
	"Late lesions of pinta"	"A67.2"	0	4156214161	0.0 (Unreliable)
	"Mixed lesions of pinta"	"A67.3"	0	4156214161	0.0 (Unreliable)
	"Pinta, unspecified"	"A67.9"	0	4156214161	0.0 (Unreliable)
	"Louse-borne relapsing fever"	"A68.0"	0	4156214161	0.0 (Unreliable)
	"Tick-borne relapsing fever"	"A68.1"	0	4156214161	0.0 (Unreliable)
	"Relapsing fever, unspecified"	"A68.9"	0	4156214161	0.0 (Unreliable)
	"Necrotizing ulcerative stomatitis"	"A69.0"	1	4156214161	0.0 (Unreliable)
	"Other Vincent's infections"	"A69.1"	2	4156214161	0.0 (Unreliable)
	"Lyme disease"	"A69.2"	99	4156214161	0.0
	"Other specified spirochaetal infections"	"A69.8"	0	4156214161	0.0 (Unreliable)
	"Spirochaetal infection, unspecified"	"A69.9"	1	4156214161	0.0 (Unreliable)
	"Chlamydia psittaci infection"	"A70"	0	4156214161	0.0 (Unreliable)
	"Initial stage of trachoma"	"A71.0"	0	4156214161	0.0 (Unreliable)
	"Active stage of trachoma"	"A71.1"	0	4156214161	0.0 (Unreliable)
	"Trachoma, unspecified"	"A71.9"	0	4156214161	0.0 (Unreliable)
	"Chlamydial conjunctivitis"	"A74.0"	2	4156214161	0.0 (Unreliable)
	"Other chlamydial diseases"	"A74.8"	1	4156214161	0.0 (Unreliable)
	"Chlamydial infection, unspecified"	"A74.9"	4	4156214161	0.0 (Unreliable)
	"Epidemic louse-borne typhus fever due to Rickettsia prowazekii"	"A75.0"	0	4156214161	0.0 (Unreliable)
	"Recrudescent typhus [Brill's disease]"	"A75.1"	0	4156214161	0.0 (Unreliable)
	"Typhus fever due to Rickettsia typhi"	"A75.2"	2	4156214161	0.0 (Unreliable)
	"Typhus fever due to Rickettsia tsutsugamushi"	"A75.3"	0	4156214161	0.0 (Unreliable)
	"Typhus fever, unspecified"	"A75.9"	2	4156214161	0.0 (Unreliable)
	"Spotted fever due to Rickettsia rickettsii"	"A77.0"	81	4156214161	0.0
	"Spotted fever due to Rickettsia conorii"	"A77.1"	0	4156214161	0.0 (Unreliable)
	"Spotted fever due to Rickettsia sibirica"	"A77.2"	0	4156214161	0.0 (Unreliable)
	"Spotted fever due to Rickettsia australis"	"A77.3"	0	4156214161	0.0 (Unreliable)
	"Other spotted fevers"	"A77.8"	51	4156214161	0.0
	"Spotted fever, unspecified"	"A77.9"	0	4156214161	0.0 (Unreliable)
	"Q fever"	"A78"	13	4156214161	0.0 (Unreliable)
	"Trench fever"	"A79.0"	0	4156214161	0.0 (Unreliable)
	"Rickettsialpox due to Rickettsia akari"	"A79.1"	0	4156214161	0.0 (Unreliable)
	"Other specified rickettsioses"	"A79.8"	4	4156214161	0.0 (Unreliable)
	"Rickettsiosis, unspecified"	"A79.9"	13	4156214161	0.0 (Unreliable)
	"Acute paralytic poliomyelitis, vaccine-associated"	"A80.0"	0	4156214161	0.0 (Unreliable)
	"Acute paralytic poliomyelitis, wild virus, imported"	"A80.1"	0	4156214161	0.0 (Unreliable)
	"Acute paralytic poliomyelitis, wild virus, indigenous"	"A80.2"	0	4156214161	0.0 (Unreliable)
	"Acute paralytic poliomyelitis, other and unspecified"	"A80.3"	0	4156214161	0.0 (Unreliable)
	"Acute nonparalytic poliomyelitis"	"A80.4"	0	4156214161	0.0 (Unreliable)
	"Acute poliomyelitis, unspecified"	"A80.9"	0	4156214161	0.0 (Unreliable)
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	3823	4156214161	0.1
	"Subacute sclerosing panencephalitis"	"A81.1"	36	4156214161	0.0
	"Progressive multifocal leukoencephalopathy"	"A81.2"	453	4156214161	0.0
	"Other slow virus infections of central nervous system"	"A81.8"	1	4156214161	0.0 (Unreliable)
	"Slow virus infection of central nervous system, unspecified"	"A81.9"	59	4156214161	0.0
	"Sylvatic rabies"	"A82.0"	0	4156214161	0.0 (Unreliable)
	"Urban rabies"	"A82.1"	0	4156214161	0.0 (Unreliable)
	"Rabies, unspecified"	"A82.9"	27	4156214161	0.0
	"Japanese encephalitis"	"A83.0"	5	4156214161	0.0 (Unreliable)
	"Western equine encephalitis"	"A83.1"	1	4156214161	0.0 (Unreliable)
	"Eastern equine encephalitis"	"A83.2"	20	4156214161	0.0
	"St Louis encephalitis"	"A83.3"	22	4156214161	0.0
	"Australian encephalitis"	"A83.4"	2	4156214161	0.0 (Unreliable)
	"California encephalitis"	"A83.5"	5	4156214161	0.0 (Unreliable)
	"Rocio virus disease"	"A83.6"	0	4156214161	0.0 (Unreliable)
	"Other mosquito-borne viral encephalitis"	"A83.8"	15	4156214161	0.0 (Unreliable)
	"Mosquito-borne viral encephalitis, unspecified"	"A83.9"	6	4156214161	0.0 (Unreliable)
	"Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]"	"A84.0"	0	4156214161	0.0 (Unreliable)
	"Central European tick-borne encephalitis"	"A84.1"	0	4156214161	0.0 (Unreliable)
	"Other tick-borne viral encephalitis"	"A84.8"	1	4156214161	0.0 (Unreliable)
