"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Other central nervous system"	"013.9"	59	2320363006	0.0
	"Tuberculosis of intestines, peritoneum, and mesenteric glands"	"014"	280	2320363006	0.0
	"Of vertebral column"	"015.0"	348	2320363006	0.0
	"Of hip"	"015.1"	8	2320363006	0.0 (Unreliable)
	"Of knee"	"015.2"	9	2320363006	0.0 (Unreliable)
	"Of other specified bones and joints"	"015.8"	7	2320363006	0.0 (Unreliable)
	"Of unspecified bones and joints"	"015.9"	16	2320363006	0.0 (Unreliable)
	"Kidney"	"016.0"	248	2320363006	0.0
	"Other urinary organs"	"016.1"	28	2320363006	0.0
	"Genital organs (male and female)"	"016.2"	14	2320363006	0.0 (Unreliable)
	"Genitourinary system, site unspecified"	"016.9"	11	2320363006	0.0 (Unreliable)
	"Of skin and subcutaneous cellular tissue"	"017.0"	150	2320363006	0.0
	"Of peripheral lymphatic glands"	"017.1"	32	2320363006	0.0
	"Of eye"	"017.2"	0	2320363006	0.0 (Unreliable)
	"Of ear"	"017.3"	0	2320363006	0.0 (Unreliable)
	"Of other organs"	"017.9"	210	2320363006	0.0
	"Acute miliary tuberculosis specified as nonpulmonary"	"018.0"	1	2320363006	0.0 (Unreliable)
	"Acute miliary tuberculosis unspecified"	"018.1"	29	2320363006	0.0
	"Other forms of disseminated tuberculosis"	"018.9"	1893	2320363006	0.1
	"Respiratory tuberculosis"	"019.0"	5257	2320363006	0.2
	"Of central nervous system"	"019.1"	17	2320363006	0.0 (Unreliable)
	"Of genitourinary system"	"019.2"	17	2320363006	0.0 (Unreliable)
	"Of vertabral column"	"019.3"	19	2320363006	0.0 (Unreliable)
	"Of hip"	"019.4"	0	2320363006	0.0 (Unreliable)
	"Of knee"	"019.5"	0	2320363006	0.0 (Unreliable)
	"Of other bones and joints"	"019.6"	1	2320363006	0.0 (Unreliable)
	"Of other specified organs"	"019.9"	16	2320363006	0.0 (Unreliable)
	"Bubonic"	"020.0"	6	2320363006	0.0 (Unreliable)
	"Pulmonic"	"020.1"	1	2320363006	0.0 (Unreliable)
	"Unspecified"	"020.9"	1	2320363006	0.0 (Unreliable)
	"Tularemia"	"021"	16	2320363006	0.0 (Unreliable)
	"Anthrax"	"022"	0	2320363006	0.0 (Unreliable)
	"Brucella melitensis"	"023.0"	0	2320363006	0.0 (Unreliable)
	"Brucella abortus"	"023.1"	0	2320363006	0.0 (Unreliable)
	"Brucella suis"	"023.2"	2	2320363006	0.0 (Unreliable)
	"Unspecified"	"023.9"	19	2320363006	0.0 (Unreliable)
	"Glanders"	"024"	0	2320363006	0.0 (Unreliable)
	"Melioidosis"	"025"	4	2320363006	0.0 (Unreliable)
	"Spirillum minus"	"026.0"	0	2320363006	0.0 (Unreliable)
	"Streptobacillus moniliformis"	"026.1"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"026.9"	0	2320363006	0.0 (Unreliable)
	"Listeriosis"	"027.0"	435	2320363006	0.0
	"Erysipelothrix infection"	"027.1"	2	2320363006	0.0 (Unreliable)
	"Other"	"027.9"	6	2320363006	0.0 (Unreliable)
	"Lepromatous"	"030.0"	8	2320363006	0.0 (Unreliable)
	"Tuberculoid"	"030.1"	0	2320363006	0.0 (Unreliable)
	"Indeterminate"	"030.2"	0	2320363006	0.0 (Unreliable)
	"Borderline"	"030.3"	0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"030.9"	18	2320363006	0.0 (Unreliable)
	"Pulmonary"	"031.0"	475	2320363006	0.0
	"Other and unspecified"	"031.9"	62	2320363006	0.0
	"Diphtheria"	"032"	144	2320363006	0.0
	"Bordetalla pertussis"	"033.0"	2	2320363006	0.0 (Unreliable)
	"Bordetalla parapertussis"	"033.1"	1	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"033.9"	132	2320363006	0.0
	"Streptococcal sore throat"	"034.0"	187	2320363006	0.0
	"Scarlet fever"	"034.1"	40	2320363006	0.0
	"Erysipelas"	"035"	94	2320363006	0.0
	"Meningococcal meningitis"	"036.0"	2334	2320363006	0.1
	"Meningococcemia without mention of meningitis"	"036.1"	2532	2320363006	0.1
	"Other forms of meningococcal infection"	"036.8"	2	2320363006	0.0 (Unreliable)
	"Unspecified"	"036.9"	40	2320363006	0.0
	"Tetanus"	"037"	593	2320363006	0.0
	"Streptococcal"	"038.0"	1315	2320363006	0.1
	"Staphylococcal"	"038.1"	2677	2320363006	0.1
	"Pneumococcal"	"038.2"	550	2320363006	0.0
	"Other bacterial septicemia"	"038.8"	3566	2320363006	0.2
	"Unspecified"	"038.9"	46248	2320363006	2.0
	"Gas gangrene"	"039.0"	916	2320363006	0.0
	"Rhinoscleroma"	"039.1"	3	2320363006	0.0 (Unreliable)
	"Other"	"039.9"	6153	2320363006	0.3
	"Acute paralytic poliomyelitis specified as bulbar"	"040"	25	2320363006	0.0
	"Acute poliomyelitis with other paralysis"	"041"	15	2320363006	0.0 (Unreliable)
	"Acute nonparalytic poliomyelitis"	"042"	0	2320363006	0.0 (Unreliable)
	"Acute poliomyelitis, unspecified"	"043"	91	2320363006	0.0
	"Late effects of acute poliomyelitis"	"044"	966	2320363006	0.0
	"Coxsackie virus"	"045.0"	6	2320363006	0.0 (Unreliable)
	"ECHO virus"	"045.1"	1	2320363006	0.0 (Unreliable)
	"Aseptic meningitis, unspecified"	"045.9"	504	2320363006	0.0
	"Other enterovirus diseases of central nervous system"	"046"	462	2320363006	0.0
	"Variola major"	"050.0"	0	2320363006	0.0 (Unreliable)
	"Variola minor"	"050.1"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"050.9"	0	2320363006	0.0 (Unreliable)
	"Cowpox"	"051"	0	2320363006	0.0 (Unreliable)
	"Chickenpox"	"052"	1106	2320363006	0.0
	"Of eye"	"053.0"	36	2320363006	0.0
	"Of other parts of face"	"053.1"	37	2320363006	0.0
	"Of trunk"	"053.2"	8	2320363006	0.0 (Unreliable)
	"Of other and unspecified sites"	"053.9"	1031	2320363006	0.0
	"Herpes simplex"	"054"	1256	2320363006	0.1
	"Measles"	"055"	369	2320363006	0.0
	"Rubella"	"056"	209	2320363006	0.0
	"Erythema infectiosum"	"057.0"	0	2320363006	0.0 (Unreliable)
	"Exanthema subitum"	"057.1"	0	2320363006	0.0 (Unreliable)
	"Other"	"057.8"	3	2320363006	0.0 (Unreliable)
	"Unspecified"	"057.9"	2	2320363006	0.0 (Unreliable)
	"Sylvatic"	"060.0"	0	2320363006	0.0 (Unreliable)
	"Urban"	"060.1"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"060.9"	2	2320363006	0.0 (Unreliable)
	"Dengue"	"061"	1	2320363006	0.0 (Unreliable)
	"Japanese encephalitis"	"062.0"	1	2320363006	0.0 (Unreliable)
	"Western equine encephalitis"	"062.1"	5	2320363006	0.0 (Unreliable)
	"Eastern equine encephalitis"	"062.2"	13	2320363006	0.0 (Unreliable)
	"St. Louis encephalitis"	"062.3"	97	2320363006	0.0
	"Murray Valley encephalitis"	"062.4"	0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"062.9"	7	2320363006	0.0 (Unreliable)
	"Russian spring-summer (taiga) encephalitis"	"063.0"	0	2320363006	0.0 (Unreliable)
	"Louping ill"	"063.1"	0	2320363006	0.0 (Unreliable)
	"Central European encephalitis"	"063.2"	0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"063.9"	0	2320363006	0.0 (Unreliable)
	"Viral encephalitis transmitted by other arthropods"	"064"	1	2320363006	0.0 (Unreliable)
	"Viral encephalitis, unspecified"	"065"	3122	2320363006	0.1
	"Late effects of viral encephalitis"	"066"	305	2320363006	0.0
	"Crimean hemorrhagic fever"	"067.0"	0	2320363006	0.0 (Unreliable)
	"Omsk hemorrhagic fever"	"067.1"	0	2320363006	0.0 (Unreliable)
	"Kyasanur Forest disease"	"067.2"	0	2320363006	0.0 (Unreliable)
	"Other tick-borne hemorrhagic fever"	"067.3"	0	2320363006	0.0 (Unreliable)
	"Mosquito-borne hemorrhagic fever"	"067.4"	0	2320363006	0.0 (Unreliable)
	"Hemorrhagic nephroso-nephritis"	"067.5"	0	2320363006	0.0 (Unreliable)
	"Other and unspecified arthropod-borne hemorrhagic fever"	"067.9"	0	2320363006	0.0 (Unreliable)
	"Phlebotomous fever"	"068.0"	0	2320363006	0.0 (Unreliable)
	"Tick-borne fever"	"068.1"	1	2320363006	0.0 (Unreliable)
	"Mosquito-borne fever"	"068.2"	0	2320363006	0.0 (Unreliable)
	"Other arthropod-borne viral diseases"	"068.9"	16	2320363006	0.0 (Unreliable)
	"Infectious hepatitis"	"070"	8067	2320363006	0.3
	"Rabies"	"071"	14	2320363006	0.0 (Unreliable)
	"Mumps"	"072"	136	2320363006	0.0
	"Psittacosis"	"073"	4	2320363006	0.0 (Unreliable)
	"Herpangina"	"074.0"	3	2320363006	0.0 (Unreliable)
	"Epidemic pleurodynia"	"074.1"	2	2320363006	0.0 (Unreliable)
	"Coxsackie myocarditis"	"074.2"	90	2320363006	0.0
	"Other"	"074.9"	5	2320363006	0.0 (Unreliable)
	"Infectious mononucleosis"	"075"	202	2320363006	0.0
	"Trachoma, active"	"076"	0	2320363006	0.0 (Unreliable)
	"Late effects of trachoma"	"077"	0	2320363006	0.0 (Unreliable)
	"Inclusion conjunctivitis"	"078.0"	0	2320363006	0.0 (Unreliable)
	"Epidemic keratoconjunctivitis"	"078.1"	0	2320363006	0.0 (Unreliable)
	"Acute adenoviral follicular conjunctivitis"	"078.2"	1	2320363006	0.0 (Unreliable)
	"Other"	"078.8"	0	2320363006	0.0 (Unreliable)
	"Viral conjunctivitis, unspecified"	"078.9"	0	2320363006	0.0 (Unreliable)
	"Molluscum contagiosum"	"079.0"	0	2320363006	0.0 (Unreliable)
	"Viral warts"	"079.1"	3	2320363006	0.0 (Unreliable)
	"Lymphocytic choriomeningitis"	"079.2"	51	2320363006	0.0
	"Cat-scratch disease"	"079.3"	2	2320363006	0.0 (Unreliable)
	"Foot and mouth disease"	"079.4"	0	2320363006	0.0 (Unreliable)
	"Cytomegalic inclusion disease"	"079.5"	319	2320363006	0.0
	"Other"	"079.8"	36	2320363006	0.0
	"Viral infection, unspecified"	"079.9"	4930	2320363006	0.2
	"Epidemic louse-borne typhus"	"080"	0	2320363006	0.0 (Unreliable)
	"Endemic flea-borne"	"081.0"	2	2320363006	0.0 (Unreliable)
	"Brill's disease"	"081.1"	0	2320363006	0.0 (Unreliable)
	"Mite-borne"	"081.2"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"081.9"	8	2320363006	0.0 (Unreliable)
	"Spotted fevers"	"082.0"	402	2320363006	0.0
	"Boutonneuse fever"	"082.1"	0	2320363006	0.0 (Unreliable)
	"North Asian tick-borne typhus fever"	"082.2"	0	2320363006	0.0 (Unreliable)
	"Other"	"082.9"	0	2320363006	0.0 (Unreliable)
	"Rickettsial pox"	"083.0"	0	2320363006	0.0 (Unreliable)
	"Q-fever"	"083.1"	0	2320363006	0.0 (Unreliable)
	"Wolhynian fever"	"083.2"	0	2320363006	0.0 (Unreliable)
	"Other"	"083.8"	1	2320363006	0.0 (Unreliable)
	"Unspecified"	"083.9"	13	2320363006	0.0 (Unreliable)
	"Falicparum malaria (malignant tertian)"	"084.0"	28	2320363006	0.0
	"Vivax malaria (benign tertian)"	"084.1"	0	2320363006	0.0 (Unreliable)
	"Malariae malaria (quartan)"	"084.2"	1	2320363006	0.0 (Unreliable)
	"Ovale malaria"	"084.3"	0	2320363006	0.0 (Unreliable)
	"Blackwater fever"	"084.4"	0	2320363006	0.0 (Unreliable)
	"Recurrent induced malaria"	"084.5"	0	2320363006	0.0 (Unreliable)
	"Other"	"084.8"	1	2320363006	0.0 (Unreliable)
	"Unspecified forms"	"084.9"	26	2320363006	0.0
	"Visceral (Kala-azar)"	"085.0"	1	2320363006	0.0 (Unreliable)
	"Cutaneous (oriental sore)"	"085.1"	0	2320363006	0.0 (Unreliable)
	"Mucocutaneous (American)"	"085.2"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"085.9"	1	2320363006	0.0 (Unreliable)
	"With heart involvement"	"086.0"	1	2320363006	0.0 (Unreliable)
	"With other organ involvement"	"086.8"	0	2320363006	0.0 (Unreliable)
	"Without mention of organ involvement"	"086.9"	2	2320363006	0.0 (Unreliable)
	"Gambian"	"087.0"	0	2320363006	0.0 (Unreliable)
	"Rhodesian"	"087.1"	0	2320363006	0.0 (Unreliable)
	"African trypanosomiasis, unspecified"	"087.8"	0	2320363006	0.0 (Unreliable)
	"Trypanosomiasis, unspecified"	"087.9"	1	2320363006	0.0 (Unreliable)
	"Louse-borne"	"088.0"	1	2320363006	0.0 (Unreliable)
	"Tick-borne"	"088.1"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"088.9"	2	2320363006	0.0 (Unreliable)
	"Bartonellosis"	"089.0"	0	2320363006	0.0 (Unreliable)
	"Other"	"089.9"	0	2320363006	0.0 (Unreliable)
	"Early congenital syphilis, symptomatic"	"090.0"	24	2320363006	0.0
	"Early congenital syphilis, latent"	"090.1"	0	2320363006	0.0 (Unreliable)
	"Early congenital syphilis, unspecified"	"090.2"	24	2320363006	0.0
	"Interstitial keratitis"	"090.3"	0	2320363006	0.0 (Unreliable)
	"Juvenile neurosyphilis"	"090.4"	44	2320363006	0.0
	"Other late congenital syphilis, symptomatic"	"090.5"	6	2320363006	0.0 (Unreliable)
	"Late congenital syphilis, latent"	"090.6"	0	2320363006	0.0 (Unreliable)
	"Late congenital syphilis, unspecified"	"090.7"	8	2320363006	0.0 (Unreliable)
	"Congenital syphilis, unspecified"	"090.9"	67	2320363006	0.0
	"Primary syphilis, except extragenital chancre"	"091.0"	1	2320363006	0.0 (Unreliable)
	"Extragenital chancre"	"091.1"	0	2320363006	0.0 (Unreliable)
	"Secondary syphilis of skin and mucous membranes"	"091.2"	3	2320363006	0.0 (Unreliable)
	"Secondary syphilis, relapse (treated, untreated)"	"091.3"	0	2320363006	0.0 (Unreliable)
	"Other recently acquired syphilis, symptomatic"	"091.8"	0	2320363006	0.0 (Unreliable)
	"Early syphilis, unspecified"	"091.9"	0	2320363006	0.0 (Unreliable)
	"Aneurysm of aorta, specified as syphilitic"	"093.0"	271	2320363006	0.0
	"Other cardiovascular syphilis"	"093.9"	1865	2320363006	0.1
	"Tabes dorsalis"	"094.0"	258	2320363006	0.0
	"General paresis"	"094.1"	315	2320363006	0.0
	"Other syphilis of central nervous system"	"094.9"	743	2320363006	0.0
	"Other forms of late syphilis, with symptoms"	"095"	41	2320363006	0.0
	"Late syphilis, unspecified"	"097.0"	108	2320363006	0.0
	"Syphilis, unspecified"	"097.9"	86	2320363006	0.0
	"Acute of genitourinary tract"	"098.0"	19	2320363006	0.0 (Unreliable)
	"Chronic of genitourinary system"	"098.1"	17	2320363006	0.0 (Unreliable)
	"Of eye"	"098.2"	0	2320363006	0.0 (Unreliable)
	"Of joint"	"098.3"	0	2320363006	0.0 (Unreliable)
	"Of other sites"	"098.8"	13	2320363006	0.0 (Unreliable)
	"Site unspecified"	"098.9"	5	2320363006	0.0 (Unreliable)
	"Chancroid"	"099.0"	0	2320363006	0.0 (Unreliable)
	"Lymphogranuloma verereum"	"099.1"	19	2320363006	0.0 (Unreliable)
	"Granuloma inguinale"	"099.2"	7	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"099.9"	24	2320363006	0.0
	"Leptospurosis icterohemorrhagica"	"100.0"	21	2320363006	0.0
	"Other"	"100.8"	3	2320363006	0.0 (Unreliable)
	"Unspecified"	"100.9"	53	2320363006	0.0
	"Vincent's angina"	"101"	7	2320363006	0.0 (Unreliable)
	"Initial lesions"	"102.0"	0	2320363006	0.0 (Unreliable)
	"Multiple papillomata and wet crab yaws"	"102.1"	0	2320363006	0.0 (Unreliable)
	"Other early skin lesions"	"102.2"	0	2320363006	0.0 (Unreliable)
	"Hyperkeratosis"	"102.3"	0	2320363006	0.0 (Unreliable)
	"Gummata, ulcers"	"102.4"	0	2320363006	0.0 (Unreliable)
	"Gangosa"	"102.5"	0	2320363006	0.0 (Unreliable)
	"Bone and joint lesions"	"102.6"	0	2320363006	0.0 (Unreliable)
	"Other manifestations"	"102.7"	0	2320363006	0.0 (Unreliable)
	"Latent yaws"	"102.8"	0	2320363006	0.0 (Unreliable)
	"Yaws, unspecified"	"102.9"	0	2320363006	0.0 (Unreliable)
	"Primary lesions"	"103.0"	0	2320363006	0.0 (Unreliable)
	"Intermediate lesions"	"103.1"	0	2320363006	0.0 (Unreliable)
	"Late lesions"	"103.2"	0	2320363006	0.0 (Unreliable)
	"Mixed lesions"	"103.3"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"103.9"	0	2320363006	0.0 (Unreliable)
	"Nonvenereal endemic syphilis"	"104.0"	0	2320363006	0.0 (Unreliable)
	"Other"	"104.9"	0	2320363006	0.0 (Unreliable)
	"Of scalp and beard"	"110.0"	0	2320363006	0.0 (Unreliable)
	"Of foot"	"110.1"	0	2320363006	0.0 (Unreliable)
	"Of other and unspecified sites"	"110.9"	6	2320363006	0.0 (Unreliable)
	"Pityriasis versicolor"	"111.0"	1	2320363006	0.0 (Unreliable)
	"Tinea nigra"	"111.1"	0	2320363006	0.0 (Unreliable)
	"Tinea blanca"	"111.2"	0	2320363006	0.0 (Unreliable)
	"Other"	"111.8"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"111.9"	3	2320363006	0.0 (Unreliable)
	"Moniliasis"	"112"	1975	2320363006	0.1
	"Actinomycosis"	"113"	135	2320363006	0.0
	"Coccidioidomycosis"	"114"	587	2320363006	0.0
	"Histoplasmosis"	"115"	622	2320363006	0.0
	"European"	"116.0"	1361	2320363006	0.1
	"North American"	"116.1"	15	2320363006	0.0 (Unreliable)
	"South American"	"116.2"	2	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"116.9"	165	2320363006	0.0
	"Rhinosporidiosis"	"117.0"	0	2320363006	0.0 (Unreliable)
	"Sporotrichosis"	"117.1"	18	2320363006	0.0 (Unreliable)
	"Chromomycosis"	"117.2"	2	2320363006	0.0 (Unreliable)
	"Aspergillosis"	"117.3"	620	2320363006	0.0
	"Maduromycosis"	"117.4"	11	2320363006	0.0 (Unreliable)
	"Other"	"117.8"	298	2320363006	0.0
	"Unspecified"	"117.9"	559	2320363006	0.0
	"Schistosoma hematobium"	"120.0"	0	2320363006	0.0 (Unreliable)
	"Schistosoma Mansoni"	"120.1"	1	2320363006	0.0 (Unreliable)
	"Schistosoma japonicum"	"120.2"	0	2320363006	0.0 (Unreliable)
	"Cutaneous"	"120.3"	0	2320363006	0.0 (Unreliable)
	"Other"	"120.8"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"120.9"	12	2320363006	0.0 (Unreliable)
	"Opisthorchiasis"	"121.0"	0	2320363006	0.0 (Unreliable)
	"Clonorchiasis"	"121.1"	3	2320363006	0.0 (Unreliable)
	"Paragonomiasis"	"121.2"	0	2320363006	0.0 (Unreliable)
	"Fascioliasis"	"121.3"	3	2320363006	0.0 (Unreliable)
	"Fasciolopsiasis"	"121.4"	0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"121.9"	0	2320363006	0.0 (Unreliable)
	"Of liver"	"122.0"	21	2320363006	0.0
	"Of lung"	"122.1"	2	2320363006	0.0 (Unreliable)
	"Of other specified sites"	"122.8"	8	2320363006	0.0 (Unreliable)
	"Of unspecified site"	"122.9"	19	2320363006	0.0 (Unreliable)
	"Taenia solium infection, intestinal form"	"123.0"	0	2320363006	0.0 (Unreliable)
	"Cysticercosis"	"123.1"	37	2320363006	0.0
	"Taenia saginata infection"	"123.2"	0	2320363006	0.0 (Unreliable)
	"Taeniasis, unspecified"	"123.3"	0	2320363006	0.0 (Unreliable)
	"Diphyllobothriasis, intestinal"	"123.4"	0	2320363006	0.0 (Unreliable)
	"Sparganosis (larval diphyllobothriasis)"	"123.5"	0	2320363006	0.0 (Unreliable)
	"Hymenolepiasis"	"123.6"	0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"123.9"	2	2320363006	0.0 (Unreliable)
	"Trichiniasis"	"124"	9	2320363006	0.0 (Unreliable)
	"Wuchereriasis"	"125.0"	0	2320363006	0.0 (Unreliable)
	"Brugia filariasis"	"125.1"	0	2320363006	0.0 (Unreliable)
	"Loiasis"	"125.2"	0	2320363006	0.0 (Unreliable)
	"Onchocercosis"	"125.3"	0	2320363006	0.0 (Unreliable)
	"Acanthocheilonemiasis"	"125.4"	0	2320363006	0.0 (Unreliable)
	"Mansonellosis"	"125.5"	0	2320363006	0.0 (Unreliable)
	"Other filariasis"	"125.8"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"125.9"	3	2320363006	0.0 (Unreliable)
	"Ancylostoma duodenale"	"126.0"	0	2320363006	0.0 (Unreliable)
	"Necator americanus"	"126.1"	0	2320363006	0.0 (Unreliable)
	"Other Ancylostoma"	"126.8"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"126.9"	3	2320363006	0.0 (Unreliable)
	"Ascariasis"	"127.0"	41	2320363006	0.0
	"Strongyloidiasis"	"127.1"	20	2320363006	0.0
	"Trichuriasis"	"127.2"	1	2320363006	0.0 (Unreliable)
	"Enterobiasis"	"127.3"	0	2320363006	0.0 (Unreliable)
	"Other intestinal nematode infection"	"127.4"	0	2320363006	0.0 (Unreliable)
	"Mixed intestinal helminthiasis"	"127.5"	2	2320363006	0.0 (Unreliable)
	"Intestinal helminthiasis, unspecified"	"127.9"	2	2320363006	0.0 (Unreliable)
	"Larva migrans, visceralis"	"128.0"	3	2320363006	0.0 (Unreliable)
	"Other"	"128.8"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"128.9"	3	2320363006	0.0 (Unreliable)
	"Intestinal parasitism, unspecified"	"129"	9	2320363006	0.0 (Unreliable)
	"Acquired"	"130.0"	2	2320363006	0.0 (Unreliable)
	"Congenital active"	"130.1"	101	2320363006	0.0
	"Late effects of intrauterine infection"	"130.2"	4	2320363006	0.0 (Unreliable)
	"Unspecified"	"130.9"	65	2320363006	0.0
	"Trichomoniasis urogenitalis"	"131"	0	2320363006	0.0 (Unreliable)
	"Pediculosis"	"132"	6	2320363006	0.0 (Unreliable)
	"Scabies"	"133.0"	0	2320363006	0.0 (Unreliable)
	"Other"	"133.9"	2	2320363006	0.0 (Unreliable)
	"Myiasis"	"134.0"	4	2320363006	0.0 (Unreliable)
	"Phthirus infestation"	"134.1"	0	2320363006	0.0 (Unreliable)
	"Other arthropod infestation"	"134.2"	0	2320363006	0.0 (Unreliable)
	"Hirudiniasis"	"134.3"	0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"134.9"	2	2320363006	0.0 (Unreliable)
	"Sarcoidosis"	"135"	2843	2320363006	0.1
	"Other and unspecified infective and parasitic diseases"	"136"	2806	2320363006	0.1
	"Upper lip"	"140.0"	53	2320363006	0.0
	"Lower lip"	"140.1"	453	2320363006	0.0
	"Both lips"	"140.2"	13	2320363006	0.0 (Unreliable)
	"Lip unspecified"	"140.9"	1409	2320363006	0.1
	"Base of tongue"	"141.0"	2173	2320363006	0.1
	"Dorsal surface of tongue"	"141.1"	12	2320363006	0.0 (Unreliable)
	"Borders and tip of tongue"	"141.2"	23	2320363006	0.0
	"Ventral surface of tongue"	"141.3"	3	2320363006	0.0 (Unreliable)
	"Part unspecified"	"141.9"	18011	2320363006	0.8
	"Parotid gland"	"142.0"	5247	2320363006	0.2
	"Other specified salivary gland"	"142.8"	808	2320363006	0.0
	"Unspecified salivary gland"	"142.9"	761	2320363006	0.0
	"Upper gum"	"143.0"	83	2320363006	0.0
	"Lower gum"	"143.1"	289	2320363006	0.0
	"Gum unspecified"	"143.9"	1092	2320363006	0.0
	"Malignant neoplasm of floor of mouth"	"144"	5587	2320363006	0.2
	"Buccal mucosa"	"145.0"	1089	2320363006	0.0
	"Palate (hard) (soft)"	"145.1"	3262	2320363006	0.1
	"Other specified parts"	"145.8"	196	2320363006	0.0
	"Part unspecified"	"145.9"	7836	2320363006	0.3
	"Tonsils"	"146.0"	7747	2320363006	0.3
	"Other specified parts"	"146.8"	417	2320363006	0.0
	"Part unspecified"	"146.9"	2640	2320363006	0.1
