"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Unspecified rat-bite fever"	"026.9"	0	4961016600	0.0 (Unreliable)
	"Listeriosis"	"027.0"	1692	4961016600	0.0
	"Erysipelothrix infection"	"027.1"	4	4961016600	0.0 (Unreliable)
	"Pasteurellosis"	"027.2"	66	4961016600	0.0
	"Other specified zoonotic bacterial diseases"	"027.8"	13	4961016600	0.0 (Unreliable)
	"Unspecified zoonotic bacterial disease"	"027.9"	2	4961016600	0.0 (Unreliable)
	"Lepromatous [type l]"	"030.0"	7	4961016600	0.0 (Unreliable)
	"Tuberculoid [type t]"	"030.1"	0	4961016600	0.0 (Unreliable)
	"Indeterminate [group i]"	"030.2"	0	4961016600	0.0 (Unreliable)
	"Borderline [group b]"	"030.3"	0	4961016600	0.0 (Unreliable)
	"Other specified leprosy"	"030.8"	0	4961016600	0.0 (Unreliable)
	"Leprosy, unspecified"	"030.9"	31	4961016600	0.0
	"Pulmonary"	"031.0"	4224	4961016600	0.1
	"Cutaneous"	"031.1"	8	4961016600	0.0 (Unreliable)
	"Other specified mycobacterial diseases"	"031.8"	25	4961016600	0.0
	"Unspecified diseases due to mycobacteria"	"031.9"	1135	4961016600	0.0
	"Faucial diphtheria"	"032.0"	0	4961016600	0.0 (Unreliable)
	"Nasopharyngeal diphtheria"	"032.1"	1	4961016600	0.0 (Unreliable)
	"Anterior nasal diphtheria"	"032.2"	0	4961016600	0.0 (Unreliable)
	"Laryngeal diphtheria"	"032.3"	0	4961016600	0.0 (Unreliable)
	"Other specified diphtheria"	"032.8"	2	4961016600	0.0 (Unreliable)
	"Diphtheria, unspecified"	"032.9"	5	4961016600	0.0 (Unreliable)
	"Bordetella pertussis [b. pertussis]"	"033.0"	14	4961016600	0.0 (Unreliable)
	"Bordetella parapertussis [b. parapertussis]"	"033.1"	0	4961016600	0.0 (Unreliable)
	"Whooping cough due to other specified organism"	"033.8"	0	4961016600	0.0 (Unreliable)
	"Whooping cough, unspecified organism"	"033.9"	105	4961016600	0.0
	"Streptococcal sore throat"	"034.0"	129	4961016600	0.0
	"Scarlet fever"	"034.1"	17	4961016600	0.0 (Unreliable)
	"Erysipelas"	"035"	90	4961016600	0.0
	"Meningococcal meningitis"	"036.0"	1875	4961016600	0.0
	"Meningococcal encephalitis"	"036.1"	28	4961016600	0.0
	"Meningococcemia"	"036.2"	2968	4961016600	0.1
	"Waterhouse-friderichsen syndrome, meningococcal"	"036.3"	833	4961016600	0.0
	"Meningococcal carditis"	"036.4"	0	4961016600	0.0 (Unreliable)
	"Other specified meningococcal infections"	"036.8"	15	4961016600	0.0 (Unreliable)
	"Meningococcal infection, unspecified"	"036.9"	102	4961016600	0.0
	"Tetanus"	"037"	308	4961016600	0.0
	"Streptococcal septicemia"	"038.0"	4760	4961016600	0.1
	"Staphylococcal septicemia"	"038.1"	17784	4961016600	0.4
	"Pneumococcal septicemia [streptococcus pneumoniae septicemia]"	"038.2"	3090	4961016600	0.1
	"Septicemia due to anaerobes"	"038.3"	1066	4961016600	0.0
	"Septicemia due to other gram-negative organisms"	"038.4"	24989	4961016600	0.5
	"Other specified septicemias"	"038.8"	2361	4961016600	0.0
	"Unspecified septicemia"	"038.9"	297957	4961016600	6.0
	"Cutaneous"	"039.0"	4	4961016600	0.0 (Unreliable)
	"Pulmonary"	"039.1"	652	4961016600	0.0
	"Abdominal"	"039.2"	4	4961016600	0.0 (Unreliable)
	"Cervicofacial"	"039.3"	0	4961016600	0.0 (Unreliable)
	"Madura foot"	"039.4"	8	4961016600	0.0 (Unreliable)
	"Of other specified sites"	"039.8"	160	4961016600	0.0
	"Of unspecified site"	"039.9"	401	4961016600	0.0
	"Gas gangrene"	"040.0"	1571	4961016600	0.0
	"Rhinoscleroma"	"040.1"	2	4961016600	0.0 (Unreliable)
	"Whipple's disease"	"040.2"	56	4961016600	0.0
	"Necrobacillosis"	"040.3"	1	4961016600	0.0 (Unreliable)
	"Other specified bacterial diseases"	"040.8"	1122	4961016600	0.0
	"Streptococcus"	"041.0"	730	4961016600	0.0
	"Staphylococcus"	"041.1"	2230	4961016600	0.0
	"Pneumococcus"	"041.2"	270	4961016600	0.0
	"Friedländer's bacillus"	"041.3"	144	4961016600	0.0
	"Escherichia coli [e.coli]"	"041.4"	276	4961016600	0.0
	"Hemophilus influenzae [h. influenzae]"	"041.5"	309	4961016600	0.0
	"Proteus (mirabilis) (morganii)"	"041.6"	149	4961016600	0.0
	"Pseudomonas"	"041.7"	875	4961016600	0.0
	"Other specified bacterial infections"	"041.8"	620	4961016600	0.0
	"Bacterial infection, unspecified"	"041.9"	923	4961016600	0.0
	"HTLV-III/LAV infection with specified infections"	"042.0"	58946	4961016600	1.2
	"HTLV-III/LAV infection causing other specified infections"	"042.1"	63786	4961016600	1.3
	"HTLV-III/LAV infection with specified malignant neoplasms"	"042.2"	25470	4961016600	0.5
	"Acquired immunodeficiency syndrome with or without other conditions"	"042.9"	162296	4961016600	3.3
	"HTLV-III/LAV infection causing lymphadenopathy"	"043.0"	2	4961016600	0.0 (Unreliable)
	"HTLV-III/LAV infection causing specified diseases of the central nervous system"	"043.1"	1064	4961016600	0.0
	"HTLV-III/LAV infection causing other disorders involving the immune mechanism"	"043.2"	166	4961016600	0.0
	"HTLV-III/LAV infection causing other specified conditions"	"043.3"	1136	4961016600	0.0
	"Acquired immunodeficiency syndrome-related complex with or without other conditions"	"043.9"	371	4961016600	0.0
	"HTLV-III/LAV infection causing specified acute infections"	"044.0"	10	4961016600	0.0 (Unreliable)
	"HTLV-III/LAV infection, not otherwise specified (with or without other conditions not classifiable to 042, 043, 044.0)"	"044.9"	10782	4961016600	0.2
	"Acute paralytic poliomyelitis specified as bulbar"	"045.0"	1	4961016600	0.0 (Unreliable)
	"Acute poliomyelitis with other paralysis"	"045.1"	3	4961016600	0.0 (Unreliable)
	"Acute nonparalytic poliomyelitis"	"045.2"	0	4961016600	0.0 (Unreliable)
	"Acute poliomyelitis, unspecified"	"045.9"	12	4961016600	0.0 (Unreliable)
	"Kuru"	"046.0"	1	4961016600	0.0 (Unreliable)
	"Creutzfeldt-Jakob disease - CJD"	"046.1"	3971	4961016600	0.1
	"Subacute sclerosing panencephalitis"	"046.2"	225	4961016600	0.0
	"Progressive multifocal leukoencephalopathy"	"046.3"	978	4961016600	0.0
	"Other specified slow virus infection of central nervous system"	"046.8"	1	4961016600	0.0 (Unreliable)
	"Unspecified slow virus infection of central nervous system"	"046.9"	5	4961016600	0.0 (Unreliable)
	"Coxsackie virus"	"047.0"	1	4961016600	0.0 (Unreliable)
	"Echo virus"	"047.1"	2	4961016600	0.0 (Unreliable)
	"Other specified viral meningitis"	"047.8"	3	4961016600	0.0 (Unreliable)
	"Unspecified viral meningitis"	"047.9"	690	4961016600	0.0
	"Other enterovirus diseases of central nervous system"	"048"	509	4961016600	0.0
	"Lymphocytic choriomeningitis"	"049.0"	198	4961016600	0.0
	"Meningitis due to adenovirus"	"049.1"	1	4961016600	0.0 (Unreliable)
	"Other specified non-arthropod-borne viral diseases of central nervous system"	"049.8"	92	4961016600	0.0
	"Unspecified non-arthropod-borne viral diseases of central nervous system"	"049.9"	2582	4961016600	0.1
	"Variola major"	"050.0"	0	4961016600	0.0 (Unreliable)
	"Alastrim"	"050.1"	0	4961016600	0.0 (Unreliable)
	"Modified smallpox"	"050.2"	0	4961016600	0.0 (Unreliable)
	"Smallpox, unspecified"	"050.9"	0	4961016600	0.0 (Unreliable)
	"Cowpox"	"051.0"	0	4961016600	0.0 (Unreliable)
	"Pseudocowpox"	"051.1"	0	4961016600	0.0 (Unreliable)
	"Contagious pustular dermatitis"	"051.2"	2	4961016600	0.0 (Unreliable)
	"Paravaccinia, unspecified"	"051.9"	0	4961016600	0.0 (Unreliable)
	"Chickenpox"	"052"	1713	4961016600	0.0
	"With meningitis"	"053.0"	19	4961016600	0.0 (Unreliable)
	"With other nervous system complications"	"053.1"	330	4961016600	0.0
	"With ophthalmic complications"	"053.2"	62	4961016600	0.0
	"With other specified complications"	"053.7"	58	4961016600	0.0
	"With unspecified complication"	"053.8"	5	4961016600	0.0 (Unreliable)
	"Herpes zoster without mention of complication"	"053.9"	2088	4961016600	0.0
	"Eczema herpeticum"	"054.0"	4	4961016600	0.0 (Unreliable)
	"Genital herpes"	"054.1"	5	4961016600	0.0 (Unreliable)
	"Herpetic gingivostomatitis"	"054.2"	13	4961016600	0.0 (Unreliable)
	"Herpetic meningoencephalitis"	"054.3"	2430	4961016600	0.0
	"With ophthalmic complications"	"054.4"	0	4961016600	0.0 (Unreliable)
	"Herpetic septicemia"	"054.5"	129	4961016600	0.0
	"Herpetic whitlow"	"054.6"	0	4961016600	0.0 (Unreliable)
	"With other specified complications"	"054.7"	529	4961016600	0.0
	"With unspecified complication"	"054.8"	0	4961016600	0.0 (Unreliable)
	"Herpes simplex without mention of complication"	"054.9"	1118	4961016600	0.0
	"Postmeasles encephalitis"	"055.0"	21	4961016600	0.0
	"Postmeasles pneumonia"	"055.1"	105	4961016600	0.0
	"Postmeasles otitis media"	"055.2"	0	4961016600	0.0 (Unreliable)
	"With other specified complications"	"055.7"	2	4961016600	0.0 (Unreliable)
	"With unspecified complication"	"055.8"	2	4961016600	0.0 (Unreliable)
	"Measles without mention of complication"	"055.9"	39	4961016600	0.0
	"With neurological complications"	"056.0"	7	4961016600	0.0 (Unreliable)
	"With other specified complications"	"056.7"	1	4961016600	0.0 (Unreliable)
	"With unspecified complications"	"056.8"	0	4961016600	0.0 (Unreliable)
	"Rubella without mention of complication"	"056.9"	25	4961016600	0.0
	"Erythema infectiosum [fifth disease]"	"057.0"	5	4961016600	0.0 (Unreliable)
	"Other specified viral exanthemata"	"057.8"	26	4961016600	0.0
	"Viral exanthem, unspecified"	"057.9"	6	4961016600	0.0 (Unreliable)
	"Sylvatic"	"060.0"	0	4961016600	0.0 (Unreliable)
	"Urban"	"060.1"	0	4961016600	0.0 (Unreliable)
	"Yellow fever, unspecified"	"060.9"	2	4961016600	0.0 (Unreliable)
	"Dengue"	"061"	3	4961016600	0.0 (Unreliable)
	"Japanese encephalitis"	"062.0"	0	4961016600	0.0 (Unreliable)
	"Western equine encephalitis"	"062.1"	3	4961016600	0.0 (Unreliable)
	"Eastern equine encephalitis"	"062.2"	24	4961016600	0.0
	"St. louis encephalitis"	"062.3"	45	4961016600	0.0
	"Australian encephalitis"	"062.4"	0	4961016600	0.0 (Unreliable)
	"California virus encephalitis"	"062.5"	3	4961016600	0.0 (Unreliable)
	"Other specified mosquito-borne viral encephalitis"	"062.8"	0	4961016600	0.0 (Unreliable)
	"Mosquito-borne viral encephalitis, unspecified"	"062.9"	5	4961016600	0.0 (Unreliable)
	"Russian spring-summer [taiga] encephalitis"	"063.0"	0	4961016600	0.0 (Unreliable)
	"Louping ill"	"063.1"	0	4961016600	0.0 (Unreliable)
	"Central european encephalitis"	"063.2"	0	4961016600	0.0 (Unreliable)
	"Other specified tick-borne viral encephalitis"	"063.8"	0	4961016600	0.0 (Unreliable)
	"Tick-borne viral encephalitis, unspecified"	"063.9"	0	4961016600	0.0 (Unreliable)
	"Viral encephalitis transmitted by other and unspecified arthropods"	"064"	4	4961016600	0.0 (Unreliable)
	"Crimean hemorrhagic fever [chf congo virus]"	"065.0"	0	4961016600	0.0 (Unreliable)
	"Omsk hemorrhagic fever"	"065.1"	0	4961016600	0.0 (Unreliable)
	"Kyasanur forest disease"	"065.2"	0	4961016600	0.0 (Unreliable)
	"Other tick-borne hemorrhagic fever"	"065.3"	0	4961016600	0.0 (Unreliable)
	"Mosquito-borne hemorrhagic fever"	"065.4"	1	4961016600	0.0 (Unreliable)
	"Other specified arthropod-borne hemorrhagic fever"	"065.8"	0	4961016600	0.0 (Unreliable)
	"Arthropod-borne hemorrhagic fever, unspecified"	"065.9"	2	4961016600	0.0 (Unreliable)
	"Phlebotomus fever"	"066.0"	0	4961016600	0.0 (Unreliable)
	"Tick-borne fever"	"066.1"	4	4961016600	0.0 (Unreliable)
	"Venezuelan equine fever"	"066.2"	0	4961016600	0.0 (Unreliable)
	"Other mosquito-borne fever"	"066.3"	0	4961016600	0.0 (Unreliable)
	"Other specified arthropod-borne viral diseases"	"066.8"	0	4961016600	0.0 (Unreliable)
	"Arthropod-borne viral disease, unspecified"	"066.9"	0	4961016600	0.0 (Unreliable)
	"Viral hepatitis a with hepatic coma"	"070.0"	113	4961016600	0.0
	"Viral hepatitis a without mention of hepatic coma"	"070.1"	1768	4961016600	0.0
	"Viral hepatitis b with hepatic coma"	"070.2"	1028	4961016600	0.0
	"Viral hepatitis b without mention of hepatic coma"	"070.3"	13120	4961016600	0.3
	"Other specified viral hepatitis with hepatic coma"	"070.4"	835	4961016600	0.0
	"Other specified viral hepatitis without mention of hepatic coma"	"070.5"	13340	4961016600	0.3
	"Unspecified viral hepatitis with hepatic coma"	"070.6"	620	4961016600	0.0
	"Unspecified viral hepatitis without mention of hepatic coma"	"070.9"	7084	4961016600	0.1
	"Rabies"	"071"	31	4961016600	0.0
	"Mumps orchitis"	"072.0"	1	4961016600	0.0 (Unreliable)
	"Mumps meningitis"	"072.1"	0	4961016600	0.0 (Unreliable)
	"Mumps encephalitis"	"072.2"	3	4961016600	0.0 (Unreliable)
	"Mumps pancreatitis"	"072.3"	1	4961016600	0.0 (Unreliable)
	"Mumps with other specified complications"	"072.7"	0	4961016600	0.0 (Unreliable)
	"Mumps with unspecified complication"	"072.8"	0	4961016600	0.0 (Unreliable)
	"Mumps without mention of complication"	"072.9"	16	4961016600	0.0 (Unreliable)
	"Ornithosis"	"073"	14	4961016600	0.0 (Unreliable)
	"Herpangina"	"074.0"	1	4961016600	0.0 (Unreliable)
	"Epidemic pleurodynia"	"074.1"	0	4961016600	0.0 (Unreliable)
	"Coxsackie carditis"	"074.2"	130	4961016600	0.0
	"Hand, foot, and mouth disease"	"074.3"	0	4961016600	0.0 (Unreliable)
	"Other specified diseases due to coxsackie virus"	"074.8"	5	4961016600	0.0 (Unreliable)
	"Infectious mononucleosis"	"075"	338	4961016600	0.0
	"Initial stage"	"076.0"	0	4961016600	0.0 (Unreliable)
	"Active stage"	"076.1"	0	4961016600	0.0 (Unreliable)
	"Trachoma, unspecified"	"076.9"	1	4961016600	0.0 (Unreliable)
	"Inclusion conjunctivitis"	"077.0"	0	4961016600	0.0 (Unreliable)
	"Epidemic keratoconjunctivitis"	"077.1"	0	4961016600	0.0 (Unreliable)
	"Pharyngoconjunctival fever"	"077.2"	0	4961016600	0.0 (Unreliable)
	"Other adenoviral conjunctivitis"	"077.3"	0	4961016600	0.0 (Unreliable)
	"Epidemic hemorrhagic conjunctivitis"	"077.4"	0	4961016600	0.0 (Unreliable)
	"Other viral conjunctivitis"	"077.8"	2	4961016600	0.0 (Unreliable)
	"Unspecified diseases of conjunctiva due to viruses and chlamydiae"	"077.9"	6	4961016600	0.0 (Unreliable)
	"Molluscum contagiosum"	"078.0"	0	4961016600	0.0 (Unreliable)
	"Viral warts"	"078.1"	7	4961016600	0.0 (Unreliable)
	"Sweating fever"	"078.2"	1	4961016600	0.0 (Unreliable)
	"Cat-scratch disease"	"078.3"	6	4961016600	0.0 (Unreliable)
	"Foot and mouth disease"	"078.4"	1	4961016600	0.0 (Unreliable)
	"Cytomegaloviral disease"	"078.5"	3974	4961016600	0.1
	"Hemorrhagic nephrosonephritis"	"078.6"	29	4961016600	0.0
	"Arenaviral hemorrhagic fever"	"078.7"	0	4961016600	0.0 (Unreliable)
	"Other specified diseases due to viruses and chlamydiae"	"078.8"	1296	4961016600	0.0
	"Adenovirus"	"079.0"	93	4961016600	0.0
	"Echo virus"	"079.1"	9	4961016600	0.0 (Unreliable)
	"Coxsackie virus"	"079.2"	32	4961016600	0.0
	"Rhinovirus"	"079.3"	1	4961016600	0.0 (Unreliable)
	"Other specified viral and chlamydial infections"	"079.8"	430	4961016600	0.0
	"Unspecified viral and chlamydial infections"	"079.9"	5655	4961016600	0.1
	"Louse-borne [epidemic] typhus"	"080"	0	4961016600	0.0 (Unreliable)
	"Murine [endemic] typhus"	"081.0"	2	4961016600	0.0 (Unreliable)
	"Brill's disease"	"081.1"	0	4961016600	0.0 (Unreliable)
	"Scrub typhus"	"081.2"	0	4961016600	0.0 (Unreliable)
	"Typhus, unspecified"	"081.9"	3	4961016600	0.0 (Unreliable)
	"Spotted fevers"	"082.0"	390	4961016600	0.0
	"Boutonneuse fever"	"082.1"	0	4961016600	0.0 (Unreliable)
	"North asian tick fever"	"082.2"	0	4961016600	0.0 (Unreliable)
	"Queensland tick typhus"	"082.3"	0	4961016600	0.0 (Unreliable)
	"Other specified tick-borne rickettsioses"	"082.8"	1	4961016600	0.0 (Unreliable)
	"Tick-borne rickettsiosis, unspecified"	"082.9"	0	4961016600	0.0 (Unreliable)
	"Q fever"	"083.0"	6	4961016600	0.0 (Unreliable)
	"Trench fever"	"083.1"	0	4961016600	0.0 (Unreliable)
	"Rickettsialpox"	"083.2"	0	4961016600	0.0 (Unreliable)
	"Other specified rickettsioses"	"083.8"	4	4961016600	0.0 (Unreliable)
	"Rickettsiosis, unspecified"	"083.9"	15	4961016600	0.0 (Unreliable)
	"Falciparum malaria [malignant tertian]"	"084.0"	44	4961016600	0.0
	"Vivax malaria [benign tertian]"	"084.1"	0	4961016600	0.0 (Unreliable)
	"Malariae malaria [quartan malaria]"	"084.2"	0	4961016600	0.0 (Unreliable)
	"Ovale malaria"	"084.3"	0	4961016600	0.0 (Unreliable)
	"Other malaria"	"084.4"	0	4961016600	0.0 (Unreliable)
	"Mixed malaria"	"084.5"	0	4961016600	0.0 (Unreliable)
	"Malaria, unspecified"	"084.6"	65	4961016600	0.0
	"Induced malaria"	"084.7"	0	4961016600	0.0 (Unreliable)
	"Blackwater fever"	"084.8"	3	4961016600	0.0 (Unreliable)
	"Other pernicious complications of malaria"	"084.9"	6	4961016600	0.0 (Unreliable)
	"Visceral [kala-azar]"	"085.0"	3	4961016600	0.0 (Unreliable)
	"Cutaneous, urban"	"085.1"	0	4961016600	0.0 (Unreliable)
	"Cutaneous, asian desert"	"085.2"	0	4961016600	0.0 (Unreliable)
	"Cutaneous, ethiopian"	"085.3"	0	4961016600	0.0 (Unreliable)
	"Cutaneous, american"	"085.4"	0	4961016600	0.0 (Unreliable)
	"Mucocutaneous (american)"	"085.5"	0	4961016600	0.0 (Unreliable)
	"Leishmaniasis, unspecified"	"085.9"	4	4961016600	0.0 (Unreliable)
	"Chagas' disease with heart involvement"	"086.0"	27	4961016600	0.0
